server_delay_ms,measurement_type,msg_size_bytes,num_probes,avg_rtt_ms,avg_tput_mbps,avg_tput_kbps
0,rtt,1,10,0.043000000000000003,,
0,rtt,100,10,0.043000000000000003,,
0,rtt,200,10,0.083,,
0,rtt,400,10,0.094,,
0,rtt,800,10,0.127,,
0,rtt,1000,10,0.046,,
0,tput,1024,10,,402.496,402496.0
0,tput,2048,10,,882.907,882907.0
0,tput,4096,10,,1373.052,1373052.0
0,tput,8192,10,,1966.6,1966600.0
0,tput,16384,10,,2508.907,2508907.0
0,tput,32768,10,,4091.127,4091127.0
50,rtt,1,10,50.257000000000005,,
50,rtt,100,10,50.281,,
50,rtt,200,10,50.346000000000004,,
50,rtt,400,10,50.251,,
50,rtt,800,10,50.31,,
50,rtt,1000,10,50.268,,
50,tput,1024,10,,0.326,326.0
50,tput,2048,10,,0.651,651.0
50,tput,4096,10,,1.304,1304.0
50,tput,8192,10,,2.597,2597.0
50,tput,16384,10,,5.205,5205.0
50,tput,32768,10,,10.392,10392.0
100,rtt,1,10,100.304,,
100,rtt,100,10,100.323,,
100,rtt,200,10,100.326,,
100,rtt,400,10,100.339,,
100,rtt,800,10,100.37400000000001,,
100,rtt,1000,10,100.376,,
100,tput,1024,10,,0.163,163.0
100,tput,2048,10,,0.327,327.0
100,tput,4096,10,,0.653,653.0
100,tput,8192,10,,1.306,1306.0
100,tput,16384,10,,2.612,2612.0
100,tput,32768,10,,5.222,5222.0
